Abilene Chr,18
Acadia,26
Adams St,30
Adrian,44
Air Force,55
Akron,66
Alabama,74
Alabama A&M,82
UAB,87
Alabama St,103
Albany GA,118
SUNY Albany,123
Alberta,133
Col of Idaho,136
Albion,146
Albright,150
Alcorn St,157
Alfred,167
Alfred St,173
Allegheny,186
Allen,191
Alma,199
Alvernia,207
American Intl,215
Amherst,231
Anderson IN,244
Anderson SC,249
Angelo St,259
Anna Maria,264
Appalachian St,275
Apprentice,281
Arizona,294
Arizona St,304
Arkansas,316
Ark Baptist,323
Ark Monticello,328
Arkansas St,333
Arkansas Tech,338
Ark Pine Bluff,343
Army,356
Ashland,373
Assumption,381
Point,392
Auburn,402
Augsburg,412
Augustana IL,427
Augustana SD,433
Aurora,437
Austin Col,443
Austin Peay,451
Averett,457
Avila,463
Baker KS,489
Baldwin-Wallace,496
Ball St,501
Barton,536
Bates,545
Baylor,557
Belhaven MS,574
Beloit,600
Bemidji St,605
Benedict,611
Benedictine IL,616
Benedictine KS,621
Bentley,629
Berry,648
Bethany KS,659
Bethany WV,667
Bethel KS,676
Bethel MN,679
Bethel TN,687
Bethune-Cookman,691
Bishop's,723
Black Hills St,732
Blinn,742
Bloomsburg,749
Bluefield Univ,757
Bluefield St,760
Bluffton,766
Boise St,771
Boston College,783
Bowdoin,807
Bowie St,816
Bowling Green,821
Brevard,852
Briar Cliff,861
Bridgewater MA,876
Bridgewater VA,882
BYU,891
Brit Columbia,901
Brockport St,908
Brown,933
Bryant,950
Bucknell,964
Buena Vista,975
Buffalo,979
Buffalo St,990
Butler,1004
Butler Co-KS,1010
Cal Poly,1032
CS Sacramento,1067
Calgary,1096
California,1098
Cal Lutheran,1109
California PA,1115
Calvin,1126
Campbell,1186
Campbellsville,1190
Capital,1214
Carleton MN,1229
Carleton ON,1237
Carnegie Mellon,1245
Carroll MT,1251
Carroll WI,1254
Carson-Newman,1259
Carthage,1265
Case Western,1273
Castleton,1280
Catawba,1287
Catholic,1294
Centenary,1336
Cent Arkansas,1351
Central Conn,1372
UCF,1380
Central IA,1390
Central Lakes,1395
Cent Methodist,1400
C Michigan,1404
C Missouri,1412
C Oklahoma,1417
Central St OH,1422
C Washington,1426
Centre,1433
Chadron St,1437
Chapman,1448
Charleston So,1457
Charleston WV,1462
Chicago,1487
Chowan,1510
Chris Newport,1524
Cincinnati,1529
Cisco JC,1543
Citadel,1545
Claremont M.S.,1558
Clarion,1567
Clark Atlanta,1572
Clarke,1585
Clemson,1603
Coahoma CC,1628
Coast Guard,1631
Coastal Car,1637
Coe,1646
Coffeyville CC,1651
Col Sherbrooke,1658
Colby,1659
Colgate,1675
Col of Dupage,1690
College of NJ,1696
Colorado,1715
Colorado Mines,1740
Colorado St,1753
CSU-Pueblo,1761
Columbia,1766
Concord,1802
Concordia IL,1817
Concordia MI,1823
Concordia NE,1828
Concordia QC,1843
Concordia WI,1850
Concordia Mhd,1857
Concordia SP,1862
Connecticut,1872
Copiah-Lincoln,1897
Cornell,1910
Cornell IA,1919
Cortland St,1930
Crown MN,1966
Culver-Stockton,1979
Cumberlands KY,1988
Cumberland TN,1993
Curry,1998
LIU Post,2008
Dakota St,2021
Dakota Wesleyan,2025
Dartmouth,2052
Davenport,2063
Davidson,2069
Dayton,2085
Dean,2095
Defiance,2102
Delaware,2108
Delaware St,2118
Delaware Val,2125
Delta St,2134
Denison,2139
DePauw,2162
Dickinson,2182
Dickinson St ND,2189
Utah Tech,2199
Doane,2203
Dodge City CC,2208
Dordt,2226
Drake,2236
Dubuque,2260
Duke,2265
Duquesne,2272
East Carolina,2292
East Central CC,2299
East Central OK,2301
E Mississippi CC,2311
E Stroudsburg,2314
ETSU,2321
E Texas Bap,2326
E Illinois,2341
E Kentucky,2346
E Michigan,2353
E New Mexico,2363
Eastern Oregon,2371
Eastern Univ,2375
E Washington,2383
Edinboro,2396
Edward Waters,2405
Eliz. City St,2416
Ellsworth CC,2429
Elmhurst,2432
Elon,2447
Emory & Henry,2473
